8839;KCNE4;potassium voltage-gated channel subfamily E regulatory subunit 4
8925;TNFAIP8;TNF alpha induced protein 8
9038;DNAH1;dynein axonemal heavy chain 1
9125;SERBP1;SERPINE1 mRNA binding protein 1
9132;PHF19;PHD finger protein 19
9144;RGS22;regulator of G protein signaling 22
9148;PTPN22;protein tyrosine phosphatase non-receptor type 22
9150;PITPNC1;phosphatidylinositol transfer protein cytoplasmic 1
9261;HAVCR1;hepatitis A virus cellular receptor 1
9316;DNAI1;dynein axonemal intermediate chain 1
9385;STK36;serine/threonine kinase 36
9390;CHIA;chitinase acidic
9547;DLL1;delta like canonical Notch ligand 1
9707;CTNNA3;catenin alpha 3
9742;ICOS;inducible T cell costimulator
9790;IL19;interleukin 19
9792;PDZRN4;PDZ domain containing ring finger 4
9830;TBX21;T-box transcription factor 21
9875;NOX4;NADPH oxidase 4
9885;IL22;interleukin 22
9887;ITSN2;intersectin 2
9937;CDON;cell adhesion associated, oncogene regulated
9939;PDE11A;phosphodiesterase 11A
9942;FOXP3;forkhead box P3
9992;WDPCP;WD repeat containing planar cell polarity effector
10053;PHF11;PHD finger protein 11
10121;CRIM1;cysteine rich transmembrane BMP regulator 1
10155;TLR7;toll like receptor 7
10180;TLR8;toll like receptor 8
10183;NME8;NME/NM23 family member 8
10214;ZMYND10;zinc finger MYND-type containing 10
10246;DDX41;DEAD-box helicase 41
10320;HDAC7;histone deacetylase 7
10350;LUC7L2;LUC7 like 2, pre-mRNA splicing factor
10380;SUFU;SUFU negative regulator of hedgehog signaling
10407;RAPGEF6;Rap guanine nucleotide exchange factor 6
10408;GHRL;ghrelin and obestatin prepropeptide
10413;RTEL1;regulator of telomere elongation helicase 1
10506;TLR9;toll like receptor 9
10578;OTULINL;OTU deubiquitinase with linear linkage specificity like
10604;CCHCR1;coiled-coil alpha-helical rod protein 1
10703;HYDIN;HYDIN axonemal central pair apparatus protein
10712;BNC2;basonuclin 2
10786;NSUN2;NOP2/Sun RNA methyltransferase 2
10797;CDKAL1;CDK5 regulatory subunit associated protein 1 like 1
10810;DNAAF5;dynein axonemal assembly factor 5
10848;PIGX;phosphatidylinositol glycan anchor biosynthesis class X
10900;CCDC40;coiled-coil domain containing 40
10907;ATG16L1;autophagy related 16 like 1
10959;ARMC4;armadillo repeat containing 4
10990;DNAAF2;dynein axonemal assembly factor 2
11002;VPS13D;vacuolar protein sorting 13 homolog D
11214;ITLN1;intelectin 1
11227;KIF16B;kinesin family member 16B
11303;TENM3;teneurin transmembrane protein 3
11378;LRP2BP;LRP2 binding protein
11391;ALLC;allantoicase
11428;GSDMB;gasdermin B
11535;BTNL2;butyrophilin like 2
11565;CCL28;C-C motif chemokine ligand 28
11567;KCNQ5;potassium voltage-gated channel subfamily Q member 5
11598;CFAP298;cilia and flagella associated protein 298
11661;EMSY;EMSY transcriptional repressor, BRCA2 interacting
11694;ADAMTS9;ADAM metallopeptidase with thrombospondin type 1 motif 9
11738;CYSLTR2;cysteinyl leukotriene receptor 2
11791;ZMIZ1;zinc finger MIZ-type containing 1
11908;COG6;component of oligomeric golgi complex 6
11911;ARHGAP31;Rho GTPase activating protein 31
12000;DPP10;dipeptidyl peptidase like 10
12155;IL21;interleukin 21
12198;BACH2;BTB domain and CNC homolog 2
12200;SLC5A7;solute carrier family 5 member 7
12233;EEFSEC;eukaryotic elongation factor, selenocysteine-tRNA specific
12343;NOD2;nucleotide binding oligomerization domain containing 2
12401;IKZF4;IKAROS family zinc finger 4
12416;GALNT17;polypeptide N-acetylgalactosaminyltransferase 17
12434;DNAI2;dynein axonemal intermediate chain 2
12508;IL25;interleukin 25
12707;CCDC28B;coiled-coil domain containing 28B
12740;MMEL1;membrane metalloendopeptidase like 1
12808;EFL1;elongation factor like GTPase 1
12870;TBL1XR1;TBL1X receptor 1
13004;PRR5L;proline rich 5 like
13092;ZNF614;zinc finger protein 614
13099;CCDC33;coiled-coil domain containing 33
